weit	8793
europa	8792
innerhalb	8786
jährigen	8785
könne	8732
schwer	8714
könnten	8689
liegen	8688
folge	8685
sommer	8674
alter	8610
rolle	8602
besteht	8601
titel	8596
recht	8593
tun	8561
tod	8528
stellt	8523
erhielt	8522
führt	8473
vater	8438
bekommen	8423
inzwischen	8398
eltern	8389
stunden	8389
fand	8376
st	8358
u	8358
spd	8346
eigene	8338
verein	8326
bzw	8324
sicher	8323
halten	8315
mitarbeiter	8284
darf	8283
nehmen	8282
zukunft	8278
direkt	8264
gebäude	8252
dennoch	8228
bislang	8204
mutter	8200
trainer	8191
gegeben	8156
zahlen	8156
junge	8135
wissen	8128
begann	8120
weiß	8100
sowohl	8088
wasser	8068
anders	8067
schule	8045
zeigen	8023
band	8021
obwohl	8019
blick	8013
einigen	8003
ebenso	7977
wirklich	7958
dürfen	7951
meist	7858
folgen	7848
jungen	7812
dadurch	7807
lage	7807
politik	7801
bald	7800
cdu	7794
dagegen	7756
verschiedenen	7756
wichtig	7723
kosten	7720
aktuell	7719
lag	7685
form	7682
zahlreiche	7679
alte	7668
vielleicht	7652
leicht	7647
erfolg	7639
erklärte	7635
partei	7633
kommenden	7620
warum	7615
führte	7612
mindestens	7596
monaten	7587
männer	7584
daran	7539
bayern	7538
kamen	7527
grünen	7510
allein	7492
paar	7490
bringen	7477
region	7469
rahmen	7451
ließ	7445
bevölkerung	7431
nahm	7417
wert	7414
insbesondere	7404
möchte	7396
situation	7395
jahrhunderts	7379
hinaus	7376
somit	7361
solche	7343
einwohner	7325
hoch	7320
erreicht	7310
hält	7293
letzte	7281
besten	7280
milliarden	7251
sagen	7247
gesellschaft	7226
pandemie	7195
österreich	7185
ganze	7179
bürgermeister	7164
gleichzeitig	7147
geworden	7130
treffen	7109
kunden	7073
bietet	7067
gebracht	7064
schweiz	7042
entscheidung	7033
fragen	7031
machte	7026
mittlerweile	6971
jeden	6968
tatsächlich	6963
berichtet	6953
auto	6940
nacht	6940
beispielsweise	6939
groß	6908
tochter	6897
anschließend	6891
verfügung	6891
sieg	6889
handelt	6814
müsse	6801
per	6783
mussten	6781
hilfe	6773
michael	6770
stelle	6758
führen	6748
mitglieder	6747
gekommen	6739
stellte	6726
nimmt	6703
wobei	6679
präsident	6673
offenbar	6657
trotzdem	6654
zumindest	6649
musik	6632
projekt	6610
neues	6598
darunter	6572
problem	6539
bau	6535
meine	6529
verletzt	6528
betrieb	6527
berliner	6524
dritten	6520
zufolge	6514
lediglich	6484
wahl	6470
genannt	6463
new	6461
teilweise	6461
ihres	6460
monate	6433
richtig	6425
jede	6424
erreichen	6408
vergleich	6404
amt	6398
hohen	6396
spielt	6368
probleme	6348
verschiedene	6347
schüler	6336
peter	6334
gefunden	6329
verwendet	6325
wien	6321
bezeichnet	6313
thomas	6269
setzt	6222
hälfte	6217
möglichkeit	6201
mehreren	6200
verloren	6197
punkte	6159
frankfurt	6153
wenige	6146
mitglied	6136
bevor	6129
bürger	6129
unterstützung	6129
sofort	6126
europäischen	6095
gewann	6083
genutzt	6069
daten	6056
häufig	6048
kilometer	6040
ergebnis	6035
dürfte	6031
schulen	6027
überhaupt	6023
markt	6021
hand	6002
starb	5997
neun	5953
km	5927
kritik	5923
raum	5904
ländern	5895
informationen	5892
kreis	5884
leute	5884
gestellt	5873
fans	5854
kindern	5850
spielte	5846
veröffentlicht	5841
oben	5827
wochenende	5799
hohe	5772
spiele	5765
geplant	5763
scheint	5762
guten	5747
v	5742
früher	5741
kind	5737
neuer	5731
aktuellen	5693
z	5688
teilte	5686
ehemaligen	5681
tätig	5681
nutzen	5675
darin	5662
zusätzlich	5627
maßnahmen	5615
unserer	5612
zwölf	5612
zeitung	5608
erwartet	5607
schloss	5589
bedeutung	5586
daraufhin	5584
gäste	5581
sorgen	5577
china	5563
h	5549
unterstützt	5531
spricht	5523
trat	5504
erster	5491
eu	5472
gehören	5471
setzte	5467
jedes	5458
frankreich	5454
verlassen	5448
union	5443
buch	5416
hingegen	5410
weltweit	5406
besucher	5398
schweizer	5390
gegründet	5388
landes	5382
genommen	5371
einzige	5364
hamburg	5361
demnach	5356
größten	5322
medien	5309
eingesetzt	5307
beginnt	5303
abend	5296
programm	5253
reihe	5249
gewählt	5248
mein	5241
läuft	5237
schaffen	5231
druck	5226
entstand	5213
feuerwehr	5206
kampf	5203
entwickelt	5200
künftig	5200
länder	5200
zeitpunkt	5193
kopf	5192
opfer	5188
politischen	5186
c	5180
versucht	5174
bringt	5160
völlig	5159
internationalen	5156
setzen	5138
firma	5135
sonst	5130
bad	5124
endlich	5108
erfolgte	5106
hause	5099
zeigte	5095
befinden	5089
universität	5089
dollar	5088
heutigen	5087
öffentlichen	5087
beste	5084
seiten	5078
größte	5070
start	5058
wirtschaft	5044
schrieb	5040
eben	5037
dpa	5033
gebe	5024
landkreis	5023
unterwegs	5019
erfolgreich	5016
gerne	5015
bedeutet	5008
preis	5002
zog	5002
frei	4976
schritt	4976
gleichen	4975
nähe	4973
großer	4964
stimmen	4964
folgenden	4946
darum	4939
unser	4937
jedem	4929
corona	4926
ca	4922
offen	4918
nächste	4913
ursprünglich	4908
rennen	4903
dank	4900
heraus	4900
gelten	4896
i	4871
tragen	4862
gesehen	4861
hieß	4855
staaten	4849
ii	4843
sicht	4820
geführt	4813
angebot	4801
gewinnen	4800
patienten	4798
runde	4796
name	4792
links	4790
vermutlich	4790
dr	4787
bestand	4783
album	4780
christian	4776
e	4769
aufgenommen	4760
serie	4759
helfen	4755
arbeitete	4746
hinzu	4744
braucht	4741
alt	4731
tor	4728
sicherheit	4717
chance	4709
gesamte	4702
erreichte	4694
zusammenhang	4690
politische	4687
bank	4684
weise	4674
einzelnen	4670
führung	4669
werk	4665
ganzen	4663
regel	4663
martin	4653
entstanden	4651
erzählt	4650
strecke	4633
fällt	4618
boden	4615
verlag	4612
herbst	4610
brachte	4601
köln	4591
langen	4576
gebiet	4564
genug	4557
beträgt	4539
liga	4523
person	4514
ehe	4509
wenigen	4500
errichtet	4499
mädchen	4495
fahrer	4491
fahren	4490
d	4489
zusammenarbeit	4485
karriere	4472
krankenhaus	4465
rechts	4462
angesichts	4458
gericht	4453
geschlossen	4449
zeiten	4437
metern	4436
dritte	4435
gelang	4433
elf	4431
all	4430
russland	4427
stück	4426
wichtige	4424
ehemalige	4421
kraft	4420
internet	4417
geboren	4384
komplett	4378
gezeigt	4374
linie	4372
punkten	4369
tiere	4368
liebe	4349
erschien	4347
vertrag	4347
nämlich	4345
wohnung	4335
morgen	4334
jähriger	4316
co	4301
g	4301
idee	4288
täter	4284
krieg	4283
bieten	4281
familien	4280
studie	4263
system	4250
dorf	4246
stieg	4242
los	4240
aktiv	4234
teile	4224
themen	4224
sport	4223
gehörte	4221
stuttgart	4221
anderer	4214
niemand	4204
länger	4197
zugleich	4196
merkel	4190
gebaut	4189
übernahm	4181
gespräch	4176
bekommt	4174
gesagt	4168
frühen	4167
berichtete	4163
kunst	4163
regelmäßig	4160
gemeinden	4157
covid	4156
her	4152
sprach	4149
laufen	4148
gesamten	4145
fälle	4127
ziehen	4127
sprechen	4105
entfernt	4103
aufgabe	4101
wahrscheinlich	4100
bereit	4080
ähnlich	4073
anteil	4065
bilder	4060
innen	4058
schweren	4054
interesse	4053
york	4038
staat	4037
italien	4033
angeboten	4025
unfall	4024
trifft	4022
nahe	4019
selten	3998
wolle	3997
trägt	3996
verkauft	3993
experten	3988
gefahr	3987
schutz	3986
verfahren	3985
positiv	3984
weiterer	3981
bestehen	3976
mio	3974
zuschauer	3965
produktion	3960
fanden	3958
behörden	3955
indem	3952
wagen	3950
fällen	3947
fiel	3946
hielt	3946
entschieden	3944
gruppen	3944
gestern	3934
wiederum	3934
trump	3933
kultur	3927
arbeitet	3925
gründen	3925
teilen	3920
vorbei	3919
weder	3917
wort	3913
monat	3907
essen	3891
anzahl	3888
manchmal	3872
zieht	3871
betonte	3869
bundesregierung	3868
leider	3867
norden	3862
bestätigt	3857
ausbildung	3856
angst	3852
gingen	3848
sprecher	3846
verbunden	3841
bund	3835
sogenannten	3835
coronavirus	3834
teams	3829
punkt	3828
vollständig	3825
wollten	3818
artikel	3817
paris	3817
gewonnen	3815
leistung	3814
schreibt	3812
verhindern	3812
entsprechend	3807
gmbh	3800
stets	3800
durchaus	3794
linken	3792
künstler	3782
sah	3777
andreas	3776
durchgeführt	3772
ergebnisse	3768
folgte	3768
müssten	3764
verheiratet	3761
publikum	3758
schreiben	3755
tat	3746
l	3744
sprache	3741
robert	3738
hintergrund	3734
eröffnet	3733
manche	3731
grüne	3729
abschluss	3726
internationale	3720
kontakt	3715
begonnen	3711
erkennen	3710
zahlreichen	3709
franken	3707
augen	3705
verbindung	3705
winter	3703
interview	3693
klasse	3693
insel	3686
fallen	3684
london	3679
betroffen	3677
autos	3676
bericht	3673
brauchen	3669
leiter	3668
sozialen	3666
gespielt	3665
aktuelle	3664
lösung	3663
voll	3662
minute	3661
entscheiden	3658
bühne	3655
stammt	3650
weiteres	3650
luft	3647
fahrzeuge	3646
fläche	3638
freien	3637
parteien	3630
betroffenen	3629
westen	3629
mittel	3628
f	3626
regeln	3626
suche	3626
gegner	3623
soldaten	3623
kollegen	3620
sogenannte	3618
zentrum	3618
stunde	3615
relativ	3608
lebt	3600
ernst	3595
müller	3595
plötzlich	3589
straßen	3589
partie	3588
laufe	3586
leipzig	3586
fehler	3582
wann	3579
teilnehmer	3577
starken	3574
fordert	3571
mehrheit	3569
bruder	3568
möglichst	3560
welches	3560
solchen	3552
kontrolle	3551
corona-pandemie	3541
position	3532
osten	3530
seitdem	3530
standen	3527
ag	3524
gesetzt	3521
grad	3520
meinung	3514
vergangenheit	3512
fahrzeug	3501
bewohner	3499
finale	3499
ball	3498
dar	3492
süden	3490
lesen	3489
immerhin	3487
öffentlichkeit	3485
tritt	3480
fdp	3478
international	3478
größere	3475
beamten	3468
rang	3468
deutscher	3463
geimpft	3460
beteiligt	3458
könig	3458
früheren	3456
moment	3456
stärker	3453
unterstützen	3451
basis	3440
sv	3438
museum	3435
wiener	3435
folgt	3433
starke	3427
mehrfach	3422
frühjahr	3419
erwähnt	3413
verlor	3411
großes	3404
rede	3403
ermittlungen	3401
offiziell	3391
jährlich	3390
aktion	3387
sucht	3387
grenze	3385
impfung	3385
betont	3384
stattdessen	3384
markus	3383
steigt	3379
spitze	3378
natur	3377
gewalt	3376
jugendliche	3374
sache	3374
mitteilte	3365
prozess	3363
werke	3363
sodass	3361
glück	3355
bahn	3351
dinge	3348
diesmal	3347
außer	3342
meiner	3342
staatsanwaltschaft	3337
erfolgt	3331
verwaltung	3327
krise	3326
passiert	3326
wären	3320
täglich	3319
erhält	3310
verhalten	3310
galt	3309
beschäftigt	3308
mensch	3307
europäische	3306
warten	3304
französischen	3303
keiner	3303
entstehen	3302
online	3301
politiker	3300
besondere	3299
polizisten	3299
länge	3297
verantwortlich	3297
zählt	3297
gerät	3291
längst	3287
möglichkeiten	3283
zuerst	3283
heimat	3281
daraus	3277
körper	3274
gelände	3267
anlage	3265
solle	3262
version	3261
schwere	3259
vorher	3253
alexander	3252
karl	3252
gehe	3245
besitzt	3244
plan	3239
gemeinsamen	3234
grenzen	3233
außerhalb	3229
entdeckt	3229
gegensatz	3228
möglicherweise	3223
einfluss	3222
britischen	3216
ausstellung	3213
rechten	3211
abgeschlossen	3210
legte	3208
welcher	3204
niederlage	3198
hervor	3197
deutschlands	3196
tore	3196
versuchen	3196
besuch	3190
erinnert	3190
gesetz	3188
nachfrage	3187
bekam	3183
produkte	3182
beschlossen	3181
video	3175
ermöglichen	3174
k	3174
kennen	3168
ausschließlich	3164
früh	3164
öffnen	3161
höher	3157
teils	3147
grundsätzlich	3146
streit	3146
gehalten	3144
getroffen	3144
veranstaltungen	3138
veröffentlichte	3136
la	3135
